query,has_media,tool_chains,sub_queries,need_call_tools,info_has_in_memory,label,use_case,reasoning
What is the career history and major trophies of [PLAYER]?,false,"[[""entity_augment""]]","[""Career history and major trophies of [PLAYER]""]",true,false,positive,entity_info,"Correct: detailed player background (career, trophies) is entity knowledge — entity_augment is the only detail tool."
What is the career history and major trophies of [PLAYER]?,false,"[[""game_info_retrieval""]]","[""Career history and trophies of [PLAYER]""]",true,false,negative,entity_info,"Wrong: game_info_retrieval returns one match record, not a player's career biography. Use entity_augment."
What are the founding history and major trophies of [TEAM]?,false,"[[""entity_augment""]]","[""Founding history and major trophies of [TEAM]""]",true,false,positive,team_info,Correct: a team is an entity — entity_augment fetches its background and trophy history.
What are the founding history and major trophies of [TEAM]?,false,"[[""game_history_retrieval""]]","[""Trophy history of [TEAM]""]",true,false,negative,team_info,"Wrong: game_history_retrieval returns one match event log, not a team's multi-season history. Use entity_augment."
"What is the seating capacity, location, and history of [VENUE]?",false,"[[""entity_augment""]]","[""Seating capacity, location, and history of [VENUE]""]",true,false,positive,venue_info,Correct: a stadium is an entity — entity_augment retrieves its profile.
"What is the seating capacity, location, and history of [VENUE]?",false,"[[""game_info_retrieval""]]","[""Capacity and history of [VENUE]""]",true,false,negative,venue_info,"Wrong: game_info_retrieval returns a match record, not venue background. Use entity_augment."
What is the career background of referee [REFEREE]?,false,"[[""entity_augment""]]","[""Career background of referee [REFEREE]""]",true,false,positive,referee_info,Correct: a referee is an entity — entity_augment retrieves their profile.
What is the career background of referee [REFEREE]?,false,"[[""game_history_retrieval""]]","[""Career background of referee [REFEREE]""]",true,false,negative,referee_info,"Wrong: game_history_retrieval returns match events, not referee biography. Use entity_augment."
What is the managerial career and tactical philosophy of coach [COACH]?,false,"[[""entity_augment""]]","[""Managerial career and tactical philosophy of coach [COACH]""]",true,false,positive,coach_info,Correct: a coach is an entity — entity_augment retrieves career and tactics.
What is the managerial career and tactical philosophy of coach [COACH]?,false,"[[""game_info_retrieval""]]","[""Managerial career of coach [COACH]""]",true,false,negative,coach_info,"Wrong: game_info_retrieval returns one match record, not a coach's full career. Use entity_augment."
